card1,card2,card3,theme,oracle,meaning
The Shattered Shell,The Starling,The Hawk,,,
The Shattered Shell,The Starling,The Storm,,,
The Shattered Shell,The Starling,The Vulture,,,
The Shattered Shell,The Starling,The Eye of Horus,,,
The Shattered Shell,The Starling,The Goat,,,
The Shattered Shell,The Starling,The Harpy,,,
The Shattered Shell,The Moon,The Sun,,,
The Shattered Shell,The Moon,The Well,,,
The Shattered Shell,The Moon,The Mountain,,,
The Shattered Shell,The Moon,Atlas,,,
The Shattered Shell,The Moon,The Hawk,,,
The Shattered Shell,The Moon,The Storm,,,
The Shattered Shell,The Moon,The Vulture,,,
The Shattered Shell,The Moon,The Eye of Horus,,,
The Shattered Shell,The Moon,The Goat,,,
The Shattered Shell,The Moon,The Harpy,,,
The Shattered Shell,The Sun,The Well,,,
The Shattered Shell,The Sun,The Mountain,,,
The Shattered Shell,The Sun,Atlas,,,
The Shattered Shell,The Sun,The Hawk,,,
The Shattered Shell,The Sun,The Storm,,,
The Shattered Shell,The Sun,The Vulture,,,
The Shattered Shell,The Sun,The Eye of Horus,,,
The Shattered Shell,The Sun,The Goat,,,
The Shattered Shell,The Sun,The Harpy,,,
The Shattered Shell,The Well,The Mountain,,,
The Shattered Shell,The Well,Atlas,,,
The Shattered Shell,The Well,The Hawk,,,
The Shattered Shell,The Well,The Storm,,,
The Shattered Shell,The Well,The Vulture,,,
The Shattered Shell,The Well,The Eye of Horus,,,
The Shattered Shell,The Well,The Goat,,,
The Shattered Shell,The Well,The Harpy,,,
The Shattered Shell,The Mountain,Atlas,,,
The Shattered Shell,The Mountain,The Hawk,,,
The Shattered Shell,The Mountain,The Storm,,,
The Shattered Shell,The Mountain,The Vulture,,,
The Shattered Shell,The Mountain,The Eye of Horus,,,
The Shattered Shell,The Mountain,The Goat,,,
The Shattered Shell,The Mountain,The Harpy,,,
The Shattered Shell,Atlas,The Hawk,,,
The Shattered Shell,Atlas,The Storm,,,
The Shattered Shell,Atlas,The Vulture,,,
The Shattered Shell,Atlas,The Eye of Horus,,,
The Shattered Shell,Atlas,The Goat,,,
The Shattered Shell,Atlas,The Harpy,,,
The Shattered Shell,The Hawk,The Storm,,,
The Shattered Shell,The Hawk,The Vulture,,,
The Shattered Shell,The Hawk,The Eye of Horus,,,
The Shattered Shell,The Hawk,The Goat,,,
The Shattered Shell,The Hawk,The Harpy,,,
The Shattered Shell,The Storm,The Vulture,,,
The Shattered Shell,The Storm,The Eye of Horus,,,
The Shattered Shell,The Storm,The Goat,,,
The Shattered Shell,The Storm,The Harpy,,,
The Shattered Shell,The Vulture,The Eye of Horus,,,
The Shattered Shell,The Vulture,The Goat,,,
The Shattered Shell,The Vulture,The Harpy,,,
The Shattered Shell,The Eye of Horus,The Goat,,,
The Shattered Shell,The Eye of Horus,The Harpy,,,
The Shattered Shell,The Goat,The Harpy,,,
The Hearthstone,The Selkie,The Heart,,,
The Hearthstone,The Selkie,The Satyr,,,
The Hearthstone,The Selkie,The Cave,,,
The Hearthstone,The Selkie,The Bone Skull,,,
The Hearthstone,The Selkie,The Wheel,,,
The Hearthstone,The Selkie,The Mirror,,,
The Hearthstone,The Selkie,The Bat,,,
The Hearthstone,The Selkie,The Thorn,,,
The Hearthstone,The Selkie,The Angel,,,
The Hearthstone,The Selkie,The Torch,,,
The Hearthstone,The Selkie,The Lightning,,,
The Hearthstone,The Selkie,The Starling,,,
The Hearthstone,The Selkie,The Moon,,,
The Hearthstone,The Selkie,The Sun,,,
The Hearthstone,The Selkie,The Well,,,
The Hearthstone,The Selkie,The Mountain,,,
The Hearthstone,The Selkie,Atlas,,,
The Hearthstone,The Selkie,The Hawk,,,
The Hearthstone,The Selkie,The Storm,,,
The Hearthstone,The Selkie,The Vulture,,,
The Hearthstone,The Selkie,The Eye of Horus,,,
The Hearthstone,The Selkie,The Goat,,,
The Hearthstone,The Selkie,The Harpy,,,
The Hearthstone,The Heart,The Satyr,,,
The Hearthstone,The Heart,The Cave,,,
The Hearthstone,The Heart,The Bone Skull,,,
The Hearthstone,The Heart,The Wheel,,,
The Hearthstone,The Heart,The Mirror,,,
The Hearthstone,The Heart,The Bat,,,
The Hearthstone,The Heart,The Thorn,,,
The Hearthstone,The Heart,The Angel,,,
The Hearthstone,The Heart,The Torch,,,
The Hearthstone,The Heart,The Lightning,,,
The Hearthstone,The Heart,The Starling,,,
The Hearthstone,The Heart,The Moon,,,
The Hearthstone,The Heart,The Sun,,,
The Hearthstone,The Heart,The Well,,,
The Hearthstone,The Heart,The Mountain,,,
The Hearthstone,The Heart,Atlas,,,
The Hearthstone,The Heart,The Hawk,,,
The Hearthstone,The Heart,The Storm,,,
The Hearthstone,The Heart,The Vulture,,,
The Hearthstone,The Heart,The Eye of Horus,,,
The Hearthstone,The Heart,The Goat,,,
The Hearthstone,The Heart,The Harpy,,,
The Hearthstone,The Satyr,The Cave,,,
The Hearthstone,The Satyr,The Bone Skull,,,
The Hearthstone,The Satyr,The Wheel,,,
The Hearthstone,The Satyr,The Mirror,,,
The Hearthstone,The Satyr,The Bat,,,
The Hearthstone,The Satyr,The Thorn,,,
The Hearthstone,The Satyr,The Angel,,,
The Hearthstone,The Satyr,The Torch,,,
The Hearthstone,The Satyr,The Lightning,,,
The Hearthstone,The Satyr,The Starling,,,
The Hearthstone,The Satyr,The Moon,,,
The Hearthstone,The Satyr,The Sun,,,
The Hearthstone,The Satyr,The Well,,,
The Hearthstone,The Satyr,The Mountain,,,
The Hearthstone,The Satyr,Atlas,,,
The Hearthstone,The Satyr,The Hawk,,,
The Hearthstone,The Satyr,The Storm,,,
The Hearthstone,The Satyr,The Vulture,,,
The Hearthstone,The Satyr,The Eye of Horus,,,
The Hearthstone,The Satyr,The Goat,,,
The Hearthstone,The Satyr,The Harpy,,,
The Hearthstone,The Cave,The Bone Skull,,,
The Hearthstone,The Cave,The Wheel,,,
The Hearthstone,The Cave,The Mirror,,,
The Hearthstone,The Cave,The Bat,,,
The Hearthstone,The Cave,The Thorn,,,
The Hearthstone,The Cave,The Angel,,,
The Hearthstone,The Cave,The Torch,,,
The Hearthstone,The Cave,The Lightning,,,
The Hearthstone,The Cave,The Starling,,,
The Hearthstone,The Cave,The Moon,,,
The Hearthstone,The Cave,The Sun,,,
The Hearthstone,The Cave,The Well,,,
The Hearthstone,The Cave,The Mountain,,,
The Hearthstone,The Cave,Atlas,,,
The Hearthstone,The Cave,The Hawk,,,
The Hearthstone,The Cave,The Storm,,,
The Hearthstone,The Cave,The Vulture,,,
The Hearthstone,The Cave,The Eye of Horus,,,
The Hearthstone,The Cave,The Goat,,,
The Hearthstone,The Cave,The Harpy,,,
The Hearthstone,The Bone Skull,The Wheel,,,
The Hearthstone,The Bone Skull,The Mirror,,,
The Hearthstone,The Bone Skull,The Bat,,,
The Hearthstone,The Bone Skull,The Thorn,,,
The Hearthstone,The Bone Skull,The Angel,,,
The Hearthstone,The Bone Skull,The Torch,,,
The Hearthstone,The Bone Skull,The Lightning,,,
The Hearthstone,The Bone Skull,The Starling,,,
The Hearthstone,The Bone Skull,The Moon,,,
The Hearthstone,The Bone Skull,The Sun,,,
The Hearthstone,The Bone Skull,The Well,,,
The Hearthstone,The Bone Skull,The Mountain,,,
The Hearthstone,The Bone Skull,Atlas,,,
The Hearthstone,The Bone Skull,The Hawk,,,
The Hearthstone,The Bone Skull,The Storm,,,
The Hearthstone,The Bone Skull,The Vulture,,,
The Hearthstone,The Bone Skull,The Eye of Horus,,,
The Hearthstone,The Bone Skull,The Goat,,,
The Hearthstone,The Bone Skull,The Harpy,,,
The Hearthstone,The Wheel,The Mirror,,,
The Hearthstone,The Wheel,The Bat,,,
The Hearthstone,The Wheel,The Thorn,,,
The Hearthstone,The Wheel,The Angel,,,
The Hearthstone,The Wheel,The Torch,,,
The Hearthstone,The Wheel,The Lightning,,,
The Hearthstone,The Wheel,The Starling,,,
The Hearthstone,The Wheel,The Moon,,,
The Hearthstone,The Wheel,The Sun,,,
The Hearthstone,The Wheel,The Well,,,
The Hearthstone,The Wheel,The Mountain,,,
The Hearthstone,The Wheel,Atlas,,,
The Hearthstone,The Wheel,The Hawk,,,
The Hearthstone,The Wheel,The Storm,,,
The Hearthstone,The Wheel,The Vulture,,,
The Hearthstone,The Wheel,The Eye of Horus,,,
The Hearthstone,The Wheel,The Goat,,,
The Hearthstone,The Wheel,The Harpy,,,
The Hearthstone,The Mirror,The Bat,,,
The Hearthstone,The Mirror,The Thorn,,,
The Hearthstone,The Mirror,The Angel,,,
The Hearthstone,The Mirror,The Torch,,,
The Hearthstone,The Mirror,The Lightning,,,
The Hearthstone,The Mirror,The Starling,,,
The Hearthstone,The Mirror,The Moon,,,
The Hearthstone,The Mirror,The Sun,,,
The Hearthstone,The Mirror,The Well,,,
The Hearthstone,The Mirror,The Mountain,,,
The Hearthstone,The Mirror,Atlas,,,
The Hearthstone,The Mirror,The Hawk,,,
The Hearthstone,The Mirror,The Storm,,,
The Hearthstone,The Mirror,The Vulture,,,
The Hearthstone,The Mirror,The Eye of Horus,,,
The Hearthstone,The Mirror,The Goat,,,
The Hearthstone,The Mirror,The Harpy,,,
The Hearthstone,The Bat,The Thorn,,,
The Hearthstone,The Bat,The Angel,,,
The Hearthstone,The Bat,The Torch,,,
The Hearthstone,The Bat,The Lightning,,,
The Hearthstone,The Bat,The Starling,,,
The Hearthstone,The Bat,The Moon,,,
The Hearthstone,The Bat,The Sun,,,
The Hearthstone,The Bat,The Well,,,
The Hearthstone,The Bat,The Mountain,,,
The Hearthstone,The Bat,Atlas,,,
The Hearthstone,The Bat,The Hawk,,,
The Hearthstone,The Bat,The Storm,,,
The Hearthstone,The Bat,The Vulture,,,
The Hearthstone,The Bat,The Eye of Horus,,,
The Hearthstone,The Bat,The Goat,,,
The Hearthstone,The Bat,The Harpy,,,
The Hearthstone,The Thorn,The Angel,,,
The Hearthstone,The Thorn,The Torch,,,
The Hearthstone,The Thorn,The Lightning,,,
The Hearthstone,The Thorn,The Starling,,,
The Hearthstone,The Thorn,The Moon,,,
The Hearthstone,The Thorn,The Sun,,,
The Hearthstone,The Thorn,The Well,,,
The Hearthstone,The Thorn,The Mountain,,,
The Hearthstone,The Thorn,Atlas,,,
The Hearthstone,The Thorn,The Hawk,,,
The Hearthstone,The Thorn,The Storm,,,
The Hearthstone,The Thorn,The Vulture,,,
The Hearthstone,The Thorn,The Eye of Horus,,,
The Hearthstone,The Thorn,The Goat,,,
The Hearthstone,The Thorn,The Harpy,,,
The Hearthstone,The Angel,The Torch,,,
The Hearthstone,The Angel,The Lightning,,,
The Hearthstone,The Angel,The Starling,,,
The Hearthstone,The Angel,The Moon,,,
The Hearthstone,The Angel,The Sun,,,
The Hearthstone,The Angel,The Well,,,
The Hearthstone,The Angel,The Mountain,,,
The Hearthstone,The Angel,Atlas,,,
The Hearthstone,The Angel,The Hawk,,,
The Hearthstone,The Angel,The Storm,,,
The Hearthstone,The Angel,The Vulture,,,
The Hearthstone,The Angel,The Eye of Horus,,,
The Hearthstone,The Angel,The Goat,,,
The Hearthstone,The Angel,The Harpy,,,
The Hearthstone,The Torch,The Lightning,,,
The Hearthstone,The Torch,The Starling,,,
The Hearthstone,The Torch,The Moon,,,
The Hearthstone,The Torch,The Sun,,,
The Hearthstone,The Torch,The Well,,,
The Hearthstone,The Torch,The Mountain,,,
The Hearthstone,The Torch,Atlas,,,
The Hearthstone,The Torch,The Hawk,,,
The Hearthstone,The Torch,The Storm,,,
The Hearthstone,The Torch,The Vulture,,,
The Hearthstone,The Torch,The Eye of Horus,,,
The Hearthstone,The Torch,The Goat,,,
The Hearthstone,The Torch,The Harpy,,,
The Hearthstone,The Lightning,The Starling,,,
The Hearthstone,The Lightning,The Moon,,,
The Hearthstone,The Lightning,The Sun,,,
The Hearthstone,The Lightning,The Well,,,
The Hearthstone,The Lightning,The Mountain,,,
The Hearthstone,The Lightning,Atlas,,,
The Hearthstone,The Lightning,The Hawk,,,
The Hearthstone,The Lightning,The Storm,,,
The Hearthstone,The Lightning,The Vulture,,,
The Hearthstone,The Lightning,The Eye of Horus,,,
The Hearthstone,The Lightning,The Goat,,,
The Hearthstone,The Lightning,The Harpy,,,
The Hearthstone,The Starling,The Moon,,,
The Hearthstone,The Starling,The Sun,,,
The Hearthstone,The Starling,The Well,,,
The Hearthstone,The Starling,The Mountain,,,
The Hearthstone,The Starling,Atlas,,,
The Hearthstone,The Starling,The Hawk,,,
The Hearthstone,The Starling,The Storm,,,
The Hearthstone,The Starling,The Vulture,,,
The Hearthstone,The Starling,The Eye of Horus,,,
The Hearthstone,The Starling,The Goat,,,
The Hearthstone,The Starling,The Harpy,,,
The Hearthstone,The Moon,The Sun,,,
The Hearthstone,The Moon,The Well,,,
The Hearthstone,The Moon,The Mountain,,,
The Hearthstone,The Moon,Atlas,,,
The Hearthstone,The Moon,The Hawk,,,
The Hearthstone,The Moon,The Storm,,,
The Hearthstone,The Moon,The Vulture,,,
The Hearthstone,The Moon,The Eye of Horus,,,
The Hearthstone,The Moon,The Goat,,,
The Hearthstone,The Moon,The Harpy,,,
The Hearthstone,The Sun,The Well,,,
The Hearthstone,The Sun,The Mountain,,,
The Hearthstone,The Sun,Atlas,,,
The Hearthstone,The Sun,The Hawk,,,
The Hearthstone,The Sun,The Storm,,,
The Hearthstone,The Sun,The Vulture,,,
The Hearthstone,The Sun,The Eye of Horus,,,
The Hearthstone,The Sun,The Goat,,,
The Hearthstone,The Sun,The Harpy,,,
The Hearthstone,The Well,The Mountain,,,
The Hearthstone,The Well,Atlas,,,
The Hearthstone,The Well,The Hawk,,,
The Hearthstone,The Well,The Storm,,,
The Hearthstone,The Well,The Vulture,,,
The Hearthstone,The Well,The Eye of Horus,,,
The Hearthstone,The Well,The Goat,,,
The Hearthstone,The Well,The Harpy,,,
The Hearthstone,The Mountain,Atlas,,,
The Hearthstone,The Mountain,The Hawk,,,
The Hearthstone,The Mountain,The Storm,,,
The Hearthstone,The Mountain,The Vulture,,,
The Hearthstone,The Mountain,The Eye of Horus,,,
The Hearthstone,The Mountain,The Goat,,,
The Hearthstone,The Mountain,The Harpy,,,
The Hearthstone,Atlas,The Hawk,,,
The Hearthstone,Atlas,The Storm,,,
The Hearthstone,Atlas,The Vulture,,,
The Hearthstone,Atlas,The Eye of Horus,,,
The Hearthstone,Atlas,The Goat,,,
The Hearthstone,Atlas,The Harpy,,,
The Hearthstone,The Hawk,The Storm,,,
The Hearthstone,The Hawk,The Vulture,,,
The Hearthstone,The Hawk,The Eye of Horus,,,
The Hearthstone,The Hawk,The Goat,,,
The Hearthstone,The Hawk,The Harpy,,,
The Hearthstone,The Storm,The Vulture,,,
The Hearthstone,The Storm,The Eye of Horus,,,
The Hearthstone,The Storm,The Goat,,,
The Hearthstone,The Storm,The Harpy,,,
The Hearthstone,The Vulture,The Eye of Horus,,,
The Hearthstone,The Vulture,The Goat,,,
The Hearthstone,The Vulture,The Harpy,,,
The Hearthstone,The Eye of Horus,The Goat,,,
The Hearthstone,The Eye of Horus,The Harpy,,,
The Hearthstone,The Goat,The Harpy,,,
The Selkie,The Heart,The Satyr,,,
The Selkie,The Heart,The Cave,,,
The Selkie,The Heart,The Bone Skull,,,
The Selkie,The Heart,The Wheel,,,
The Selkie,The Heart,The Mirror,,,
The Selkie,The Heart,The Bat,,,
The Selkie,The Heart,The Thorn,,,
The Selkie,The Heart,The Angel,,,
The Selkie,The Heart,The Torch,,,
The Selkie,The Heart,The Lightning,,,
The Selkie,The Heart,The Starling,,,
The Selkie,The Heart,The Moon,,,
The Selkie,The Heart,The Sun,,,
The Selkie,The Heart,The Well,,,
The Selkie,The Heart,The Mountain,,,
The Selkie,The Heart,Atlas,,,
The Selkie,The Heart,The Hawk,,,
The Selkie,The Heart,The Storm,,,
The Selkie,The Heart,The Vulture,,,
The Selkie,The Heart,The Eye of Horus,,,
The Selkie,The Heart,The Goat,,,
The Selkie,The Heart,The Harpy,,,
The Selkie,The Satyr,The Cave,,,
The Selkie,The Satyr,The Bone Skull,,,
The Selkie,The Satyr,The Wheel,,,
The Selkie,The Satyr,The Mirror,,,
The Selkie,The Satyr,The Bat,,,
The Selkie,The Satyr,The Thorn,,,
The Selkie,The Satyr,The Angel,,,
The Selkie,The Satyr,The Torch,,,
The Selkie,The Satyr,The Lightning,,,
The Selkie,The Satyr,The Starling,,,
The Selkie,The Satyr,The Moon,,,
The Selkie,The Satyr,The Sun,,,
The Selkie,The Satyr,The Well,,,
The Selkie,The Satyr,The Mountain,,,
The Selkie,The Satyr,Atlas,,,
The Selkie,The Satyr,The Hawk,,,
The Selkie,The Satyr,The Storm,,,
The Selkie,The Satyr,The Vulture,,,
The Selkie,The Satyr,The Eye of Horus,,,
The Selkie,The Satyr,The Goat,,,
The Selkie,The Satyr,The Harpy,,,
The Selkie,The Cave,The Bone Skull,,,
The Selkie,The Cave,The Wheel,,,
The Selkie,The Cave,The Mirror,,,
The Selkie,The Cave,The Bat,,,
The Selkie,The Cave,The Thorn,,,
The Selkie,The Cave,The Angel,,,
The Selkie,The Cave,The Torch,,,
The Selkie,The Cave,The Lightning,,,
The Selkie,The Cave,The Starling,,,
The Selkie,The Cave,The Moon,,,
The Selkie,The Cave,The Sun,,,
The Selkie,The Cave,The Well,,,
The Selkie,The Cave,The Mountain,,,
The Selkie,The Cave,Atlas,,,
The Selkie,The Cave,The Hawk,,,
The Selkie,The Cave,The Storm,,,
The Selkie,The Cave,The Vulture,,,
The Selkie,The Cave,The Eye of Horus,,,
The Selkie,The Cave,The Goat,,,
The Selkie,The Cave,The Harpy,,,
The Selkie,The Bone Skull,The Wheel,,,
The Selkie,The Bone Skull,The Mirror,,,
The Selkie,The Bone Skull,The Bat,,,
The Selkie,The Bone Skull,The Thorn,,,
The Selkie,The Bone Skull,The Angel,,,
The Selkie,The Bone Skull,The Torch,,,
The Selkie,The Bone Skull,The Lightning,,,
The Selkie,The Bone Skull,The Starling,,,
The Selkie,The Bone Skull,The Moon,,,
The Selkie,The Bone Skull,The Sun,,,
The Selkie,The Bone Skull,The Well,,,
The Selkie,The Bone Skull,The Mountain,,,
The Selkie,The Bone Skull,Atlas,,,
The Selkie,The Bone Skull,The Hawk,,,
The Selkie,The Bone Skull,The Storm,,,
The Selkie,The Bone Skull,The Vulture,,,
The Selkie,The Bone Skull,The Eye of Horus,,,
The Selkie,The Bone Skull,The Goat,,,
The Selkie,The Bone Skull,The Harpy,,,
The Selkie,The Wheel,The Mirror,,,
The Selkie,The Wheel,The Bat,,,
The Selkie,The Wheel,The Thorn,,,
The Selkie,The Wheel,The Angel,,,
The Selkie,The Wheel,The Torch,,,
The Selkie,The Wheel,The Lightning,,,
The Selkie,The Wheel,The Starling,,,
The Selkie,The Wheel,The Moon,,,
The Selkie,The Wheel,The Sun,,,
The Selkie,The Wheel,The Well,,,
The Selkie,The Wheel,The Mountain,,,
The Selkie,The Wheel,Atlas,,,
The Selkie,The Wheel,The Hawk,,,
The Selkie,The Wheel,The Storm,,,
The Selkie,The Wheel,The Vulture,,,
The Selkie,The Wheel,The Eye of Horus,,,
The Selkie,The Wheel,The Goat,,,
The Selkie,The Wheel,The Harpy,,,
The Selkie,The Mirror,The Bat,,,
The Selkie,The Mirror,The Thorn,,,
The Selkie,The Mirror,The Angel,,,
The Selkie,The Mirror,The Torch,,,
The Selkie,The Mirror,The Lightning,,,
The Selkie,The Mirror,The Starling,,,
The Selkie,The Mirror,The Moon,,,
The Selkie,The Mirror,The Sun,,,
The Selkie,The Mirror,The Well,,,
The Selkie,The Mirror,The Mountain,,,
The Selkie,The Mirror,Atlas,,,
The Selkie,The Mirror,The Hawk,,,
The Selkie,The Mirror,The Storm,,,
The Selkie,The Mirror,The Vulture,,,
The Selkie,The Mirror,The Eye of Horus,,,
The Selkie,The Mirror,The Goat,,,
The Selkie,The Mirror,The Harpy,,,
The Selkie,The Bat,The Thorn,,,
The Selkie,The Bat,The Angel,,,
The Selkie,The Bat,The Torch,,,
The Selkie,The Bat,The Lightning,,,
The Selkie,The Bat,The Starling,,,
The Selkie,The Bat,The Moon,,,
The Selkie,The Bat,The Sun,,,
The Selkie,The Bat,The Well,,,
The Selkie,The Bat,The Mountain,,,
The Selkie,The Bat,Atlas,,,
The Selkie,The Bat,The Hawk,,,
The Selkie,The Bat,The Storm,,,
The Selkie,The Bat,The Vulture,,,
The Selkie,The Bat,The Eye of Horus,,,
The Selkie,The Bat,The Goat,,,
The Selkie,The Bat,The Harpy,,,
The Selkie,The Thorn,The Angel,,,
The Selkie,The Thorn,The Torch,,,
The Selkie,The Thorn,The Lightning,,,
The Selkie,The Thorn,The Starling,,,
The Selkie,The Thorn,The Moon,,,
The Selkie,The Thorn,The Sun,,,
The Selkie,The Thorn,The Well,,,
The Selkie,The Thorn,The Mountain,,,
The Selkie,The Thorn,Atlas,,,
The Selkie,The Thorn,The Hawk,,,
The Selkie,The Thorn,The Storm,,,
The Selkie,The Thorn,The Vulture,,,
The Selkie,The Thorn,The Eye of Horus,,,
The Selkie,The Thorn,The Goat,,,
The Selkie,The Thorn,The Harpy,,,
The Selkie,The Angel,The Torch,,,
The Selkie,The Angel,The Lightning,,,
The Selkie,The Angel,The Starling,,,
The Selkie,The Angel,The Moon,,,
The Selkie,The Angel,The Sun,,,
The Selkie,The Angel,The Well,,,
The Selkie,The Angel,The Mountain,,,
The Selkie,The Angel,Atlas,,,
The Selkie,The Angel,The Hawk,,,
The Selkie,The Angel,The Storm,,,
The Selkie,The Angel,The Vulture,,,
The Selkie,The Angel,The Eye of Horus,,,
The Selkie,The Angel,The Goat,,,
The Selkie,The Angel,The Harpy,,,
The Selkie,The Torch,The Lightning,,,
The Selkie,The Torch,The Starling,,,
The Selkie,The Torch,The Moon,,,
The Selkie,The Torch,The Sun,,,
The Selkie,The Torch,The Well,,,
The Selkie,The Torch,The Mountain,,,
The Selkie,The Torch,Atlas,,,
The Selkie,The Torch,The Hawk,,,
The Selkie,The Torch,The Storm,,,
The Selkie,The Torch,The Vulture,,,
The Selkie,The Torch,The Eye of Horus,,,
The Selkie,The Torch,The Goat,,,
The Selkie,The Torch,The Harpy,,,
The Selkie,The Lightning,The Starling,,,
The Selkie,The Lightning,The Moon,,,
The Selkie,The Lightning,The Sun,,,
The Selkie,The Lightning,The Well,,,
The Selkie,The Lightning,The Mountain,,,
The Selkie,The Lightning,Atlas,,,
The Selkie,The Lightning,The Hawk,,,
The Selkie,The Lightning,The Storm,,,
The Selkie,The Lightning,The Vulture,,,
The Selkie,The Lightning,The Eye of Horus,,,
The Selkie,The Lightning,The Goat,,,
The Selkie,The Lightning,The Harpy,,,
The Selkie,The Starling,The Moon,,,
The Selkie,The Starling,The Sun,,,
The Selkie,The Starling,The Well,,,
The Selkie,The Starling,The Mountain,,,
The Selkie,The Starling,Atlas,,,
The Selkie,The Starling,The Hawk,,,
The Selkie,The Starling,The Storm,,,
The Selkie,The Starling,The Vulture,,,
The Selkie,The Starling,The Eye of Horus,,,
The Selkie,The Starling,The Goat,,,
The Selkie,The Starling,The Harpy,,,
The Selkie,The Moon,The Sun,,,
The Selkie,The Moon,The Well,,,
The Selkie,The Moon,The Mountain,,,
The Selkie,The Moon,Atlas,,,
The Selkie,The Moon,The Hawk,,,
The Selkie,The Moon,The Storm,,,
The Selkie,The Moon,The Vulture,,,
The Selkie,The Moon,The Eye of Horus,,,
The Selkie,The Moon,The Goat,,,
The Selkie,The Moon,The Harpy,,,
The Selkie,The Sun,The Well,,,
The Selkie,The Sun,The Mountain,,,
The Selkie,The Sun,Atlas,,,
The Selkie,The Sun,The Hawk,,,
The Selkie,The Sun,The Storm,,,
The Selkie,The Sun,The Vulture,,,
The Selkie,The Sun,The Eye of Horus,,,
The Selkie,The Sun,The Goat,,,
The Selkie,The Sun,The Harpy,,,
The Selkie,The Well,The Mountain,,,
The Selkie,The Well,Atlas,,,
The Selkie,The Well,The Hawk,,,
The Selkie,The Well,The Storm,,,
The Selkie,The Well,The Vulture,,,
The Selkie,The Well,The Eye of Horus,,,
The Selkie,The Well,The Goat,,,
The Selkie,The Well,The Harpy,,,
The Selkie,The Mountain,Atlas,,,
The Selkie,The Mountain,The Hawk,,,
The Selkie,The Mountain,The Storm,,,
The Selkie,The Mountain,The Vulture,,,
The Selkie,The Mountain,The Eye of Horus,,,
The Selkie,The Mountain,The Goat,,,
The Selkie,The Mountain,The Harpy,,,
The Selkie,Atlas,The Hawk,,,
The Selkie,Atlas,The Storm,,,
The Selkie,Atlas,The Vulture,,,
The Selkie,Atlas,The Eye of Horus,,,
The Selkie,Atlas,The Goat,,,
The Selkie,Atlas,The Harpy,,,
The Selkie,The Hawk,The Storm,,,
The Selkie,The Hawk,The Vulture,,,
The Selkie,The Hawk,The Eye of Horus,,,
The Selkie,The Hawk,The Goat,,,
The Selkie,The Hawk,The Harpy,,,
The Selkie,The Storm,The Vulture,,,
The Selkie,The Storm,The Eye of Horus,,,
The Selkie,The Storm,The Goat,,,
The Selkie,The Storm,The Harpy,,,
The Selkie,The Vulture,The Eye of Horus,,,
The Selkie,The Vulture,The Goat,,,
The Selkie,The Vulture,The Harpy,,,
The Selkie,The Eye of Horus,The Goat,,,
The Selkie,The Eye of Horus,The Harpy,,,
The Selkie,The Goat,The Harpy,,,
The Heart,The Satyr,The Cave,,,
The Heart,The Satyr,The Bone Skull,,,
The Heart,The Satyr,The Wheel,,,
The Heart,The Satyr,The Mirror,,,
The Heart,The Satyr,The Bat,,,
The Heart,The Satyr,The Thorn,,,
The Heart,The Satyr,The Angel,,,
The Heart,The Satyr,The Torch,,,
The Heart,The Satyr,The Lightning,,,
The Heart,The Satyr,The Starling,,,
The Heart,The Satyr,The Moon,,,
The Heart,The Satyr,The Sun,,,
The Heart,The Satyr,The Well,,,
The Heart,The Satyr,The Mountain,,,
The Heart,The Satyr,Atlas,,,
The Heart,The Satyr,The Hawk,,,
The Heart,The Satyr,The Storm,,,
The Heart,The Satyr,The Vulture,,,
The Heart,The Satyr,The Eye of Horus,,,
The Heart,The Satyr,The Goat,,,
The Heart,The Satyr,The Harpy,,,
The Heart,The Cave,The Bone Skull,,,
The Heart,The Cave,The Wheel,,,
The Heart,The Cave,The Mirror,,,
The Heart,The Cave,The Bat,,,
The Heart,The Cave,The Thorn,,,
The Heart,The Cave,The Angel,,,
The Heart,The Cave,The Torch,,,
The Heart,The Cave,The Lightning,,,
The Heart,The Cave,The Starling,,,
The Heart,The Cave,The Moon,,,
The Heart,The Cave,The Sun,,,
The Heart,The Cave,The Well,,,
The Heart,The Cave,The Mountain,,,
The Heart,The Cave,Atlas,,,
The Heart,The Cave,The Hawk,,,
The Heart,The Cave,The Storm,,,
The Heart,The Cave,The Vulture,,,
The Heart,The Cave,The Eye of Horus,,,
The Heart,The Cave,The Goat,,,
The Heart,The Cave,The Harpy,,,
The Heart,The Bone Skull,The Wheel,,,
The Heart,The Bone Skull,The Mirror,,,
The Heart,The Bone Skull,The Bat,,,
The Heart,The Bone Skull,The Thorn,,,
The Heart,The Bone Skull,The Angel,,,
The Heart,The Bone Skull,The Torch,,,
The Heart,The Bone Skull,The Lightning,,,
The Heart,The Bone Skull,The Starling,,,
The Heart,The Bone Skull,The Moon,,,
The Heart,The Bone Skull,The Sun,,,
The Heart,The Bone Skull,The Well,,,
The Heart,The Bone Skull,The Mountain,,,
The Heart,The Bone Skull,Atlas,,,
The Heart,The Bone Skull,The Hawk,,,
The Heart,The Bone Skull,The Storm,,,
The Heart,The Bone Skull,The Vulture,,,
The Heart,The Bone Skull,The Eye of Horus,,,
The Heart,The Bone Skull,The Goat,,,
The Heart,The Bone Skull,The Harpy,,,
The Heart,The Wheel,The Mirror,,,
The Heart,The Wheel,The Bat,,,
The Heart,The Wheel,The Thorn,,,
